File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,Rb,Rb Err,Sr,Sr Err,Zr,Zr Err,Nb,Nb Err,Sn,Sn Err,Cs,Cs Err,Ba,Ba Err,Ta,Ta Err,W,W Err,Tl,Tl Err,Pb,Pb Err,Li_IDX,Li_IDX Err,Multiplier,Cal Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1/02/2006 14:31,Supervisor,MAD213,612.5,Li Index,Li Index,60,,0,,0,,0,< LOD,0.142,5.9568,0.1083,34.8566,0.2302,< LOD,0.012,0.3108,0.0106,0.2703,0.0077,0.9337,0.0117,< LOD,0.0022,0.004,0.0027,0.0037,0.0007,0.0029,0.0006,< LOD,0.0007,0.0011,0.0007,0.0029,0.0018,< LOD,0.0054,< LOD,0.0139,< LOD,0.0016,< LOD,0.0045,< LOD,0.0015,0.0047,0.002,0.0052,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1/02/2006 14:32,Supervisor,MAD213,613,Li Index,Li Index,60,,0,,0,,0,< LOD,0.1255,4.9822,0.0945,29.6328,0.2057,< LOD,0.0106,0.0375,0.0055,3.8258,0.0241,0.1613,0.0072,< LOD,0.0014,< LOD,0.0016,0.0524,0.0017,0.0018,0.0004,0.0012,0.0005,0.0011,0.0004,< LOD,0.0012,< LOD,0.0035,< LOD,0.0086,< LOD,0.0011,< LOD,0.004,< LOD,0.0012,0.0068,0.0016,0.0294,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1/02/2006 14:34,Supervisor,MAD213,613.5,Li Index,Li Index,60,,0,,0,,0,0.153,0.12,4.0698,0.0828,18.648,0.1558,< LOD,0.0097,0.1039,0.0071,3.7939,0.0238,0.1509,0.0065,< LOD,0.0013,0.002,0.0017,0.0632,0.0022,0.001,0.0003,0.0005,0.0004,0.001,0.0003,< LOD,0.0012,< LOD,0.0028,< LOD,0.0078,< LOD,0.0012,< LOD,0.0049,< LOD,0.0014,0.0064,0.0016,0.0343,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1/02/2006 14:36,Supervisor,MAD213,614,Li Index,Li Index,60,,0,,0,,0,< LOD,0.4178,7.3222,0.1357,29.6024,0.2341,< LOD,0.0274,0.1111,0.0121,11.6079,0.044,0.2238,0.0117,< LOD,0.0022,< LOD,0.0026,0.0765,0.0028,0.0029,0.0006,< LOD,0.0007,0.0019,0.0007,< LOD,0.0018,< LOD,0.0068,< LOD,0.0123,< LOD,0.0018,< LOD,0.0053,< LOD,0.0017,0.0089,0.0024,0.0439,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Li,Li Err,Be,Be Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Cs,Cs Err,Ba,Ba Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,U,U Err,Multiplier,Cal Check,,
45,38749.29653,Supervisor,MAD213,614.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1651,0.1446,4.5896,0.0966,32.9384,0.221,< LOD,0.0114,0.083,0.0067,0.2468,0.0076,0.6768,0.0101,,,,,,,,,,,,,,,,,0.0088,0.002,< LOD,0.0018,,,,,0.0046,0.0006,0.002,0.0004,,,< LOD,0.0005,0.0033,0.0006,,,,,,,,,,,,,,,0.002,0.0013,,,,,< LOD,0.0037,< LOD,0.01,,,0.0013,0.0012,< LOD,0.0034,,,,,,,,,,,< LOD,0.001,0.0094,0.0017,,,,,3,Passed,,
47,1/03/2006 11:12,Supervisor,MAD213,615,Li Index,Li Index,70,No Match,0,,0,,0,,,,,< LOD,0.1443,4.4605,0.0918,29.1588,0.2048,0.0188,0.0125,0.1045,0.0074,3.2337,0.0225,0.299,0.0082,< LOD,0.0067,,,< LOD,0.0022,< LOD,0.0019,0.0232,0.003,,,< LOD,0.0034,< LOD,0.0007,0.0017,0.0016,0.0023,0.0018,,,,,0.0309,0.0012,0.0033,0.0005,,,< LOD,0.0005,0.0039,0.0005,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0038,< LOD,0.0095,,,< LOD,0.0012,< LOD,0.0035,,,,,,,,,,,< LOD,0.001,0.0067,0.0017,,,,,3,Passed,,
48,1/03/2006 11:15,Supervisor,MAD213,615.5,Li Index,Li Index,64,No Match,0,,0,,0,,,,,< LOD,0.1455,8.3389,0.1182,32.8401,0.222,0.0202,0.0125,0.0963,0.0072,8.66,0.0348,0.1138,0.0085,< LOD,0.0137,,,< LOD,0.0053,0.0052,0.0045,0.0572,0.0075,,,< LOD,0.0015,< LOD,0.0004,< LOD,0.0015,0.0021,0.0017,,,,,0.0758,0.0018,0.0018,0.0004,,,< LOD,0.0005,0.0006,0.0004,,,,,,,,,,,,,,,0.0017,0.0012,,,,,< LOD,0.0047,< LOD,0.0089,,,< LOD,0.0011,< LOD,0.0035,,,,,,,,,,,< LOD,0.0011,0.008,0.0016,,,,,3,Passed,,
49,1/03/2006 11:17,Supervisor,MAD213,616,Li Index,Li Index,62,No Match,0,,0,,0,,,,,< LOD,0.151,3.9187,0.0912,25.9396,0.1908,< LOD,0.0122,0.1208,0.0079,0.1499,0.0065,0.6491,0.0097,< LOD,0.0327,,,< LOD,0.009,0.0094,0.0093,0.3948,0.0278,,,< LOD,0.0022,< LOD,0.0004,< LOD,0.0016,0.004,0.0021,,,,,0.0048,0.0005,0.0021,0.0005,,,< LOD,0.0006,0.006,0.0006,,,,,,,,,,,,,,,0.0025,0.0014,,,,,< LOD,0.0034,< LOD,0.0099,,,< LOD,0.0013,< LOD,0.0033,,,,,,,,,,,< LOD,0.001,0.008,0.0017,,,,,3,Passed,,
File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Li,Li Err,Be,Be Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Cs,Cs Err,Ba,Ba Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,U,U Err,Li_IDX,Li_IDX Err,Multiplier,Cal Check
50,1/03/2006 11:20,Supervisor,MAD213,616.5,Li Index,Li Index,60,PWA1497,0,TMS138,0,TMS138ARu,0,,,,,< LOD,0.1757,2.9052,0.0812,18.2815,0.1584,< LOD,0.0147,0.3089,0.0118,0.862,0.0127,0.4921,0.0087,,,,,,,,,,,,,,,,,0.0034,0.0018,0.0032,0.0021,,,,,0.018,0.0009,0.003,0.0004,,,< LOD,0.0006,0.0073,0.0006,,,,,,,,,,,,,,,0.0016,0.0014,,,,,< LOD,0.003,< LOD,0.0097,,,< LOD,0.0014,< LOD,0.0033,,,,,,,,,,,< LOD,0.0009,0.0108,0.002,,,,,0.0312,0,3,Passed
File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Li,Li Err,Be,Be Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Pb,Pb Err,Bi,Bi Err,U,U Err,Multiplier,Cal Check,,,,,,,,,,
51,1/03/2006 11:22,Supervisor,MAD213,617,Li Index,Li Index,17,PWA1497,0,TMS138,0,TMS138ARu,0,,,,,< LOD,0.2407,2.9439,0.1085,18.8769,0.2143,< LOD,0.0197,0.3193,0.0159,0.8072,0.0164,0.5073,0.0117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Passed,,,,,,,,,,
File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Li,Li Err,Be,Be Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Cs,Cs Err,Ba,Ba Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,U,U Err,Multiplier,Cal Check,,
52,1/03/2006 11:23,Supervisor,MAD213,617.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1477,5.4499,0.0994,29.8554,0.2084,< LOD,0.0119,0.1123,0.0076,4.8482,0.027,0.1762,0.0078,< LOD,0.0772,,,< LOD,0.0209,< LOD,0.02,0.2051,0.03,,,< LOD,0.0022,< LOD,0.0006,< LOD,0.0015,0.0018,0.0017,,,,,0.0604,0.0017,0.0008,0.0004,,,< LOD,0.0005,0.0053,0.0006,,,,,,,,,,,,,,,< LOD,0.0013,,,,,0.0041,0.0039,0.0118,0.009,,,< LOD,0.0011,< LOD,0.0036,,,,,,,,,,,< LOD,0.0011,0.0084,0.0017,,,,,3,Passed,,
53,1/03/2006 11:25,Supervisor,MAD213,618,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1761,4.788,0.0948,22.9309,0.1801,< LOD,0.0141,0.7951,0.0171,4.7165,0.027,0.3949,0.0093,,,,,,,,,,,,,,,,,< LOD,0.0016,0.0026,0.0019,,,,,0.0768,0.002,0.0025,0.0004,,,< LOD,0.0005,0.0043,0.0005,,,,,,,,,,,,,,,0.0019,0.0013,,,,,< LOD,0.0037,< LOD,0.0091,,,< LOD,0.0013,< LOD,0.0038,,,,,,,,,,,0.0012,0.0012,0.0448,0.0031,,,,,3,Passed,,
54,1/03/2006 11:27,Supervisor,MAD213,618.5,Li Index,Li Index,62,No Match,0,,0,,0,,,,,0.1645,0.1341,6.6121,0.1074,33.4665,0.2237,0.0261,0.0111,0.0893,0.0066,5.4506,0.0284,0.1925,0.0082,< LOD,0.0364,,,< LOD,0.0097,0.014,0.01,0.2273,0.0212,,,< LOD,0.0021,0.0005,0.0004,0.0019,0.0015,0.0018,0.0016,,,,,0.054,0.0016,0.002,0.0004,,,< LOD,0.0005,0.0023,0.0005,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0042,< LOD,0.0088,,,0.0013,0.0011,< LOD,0.0036,,,,,,,,,,,< LOD,0.0011,0.0064,0.0015,,,,,3,Passed,,
55,1/03/2006 11:29,Supervisor,MAD213,619,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.2016,0.1413,6.1344,0.1081,33.0351,0.2212,0.0145,0.0118,0.1963,0.0088,0.5844,0.0104,0.983,0.012,,,,,,,,,,,,,,,,,0.0019,0.0017,0.003,0.0019,,,,,0.005,0.0006,0.0032,0.0004,,,< LOD,0.0005,0.0006,0.0005,,,,,,,,,,,,,,,0.0016,0.0013,,,,,< LOD,0.0039,< LOD,0.0101,,,< LOD,0.0012,< LOD,0.0031,,,,,,,,,,,< LOD,0.001,0.0101,0.0018,,,,,3,Passed,,
56,1/03/2006 11:35,Supervisor,MAD213,619.5,Li Index,Li Index,62,No Match,0,,0,,0,,,,,< LOD,0.1366,5.9339,0.1057,33.5974,0.2236,0.0138,0.0116,0.0406,0.0057,2.1032,0.0185,0.5566,0.0099,0.037,0.0285,,,< LOD,0.0076,0.0133,0.0084,0.2985,0.024,,,< LOD,0.0026,0.0008,0.0006,0.0019,0.0017,0.0022,0.0018,,,,,0.0316,0.0012,< LOD,0.0004,,,0.0318,0.0013,0.006,0.0006,,,,,,,,,,,,,,,0.002,0.0013,,,,,< LOD,0.004,< LOD,0.0095,,,< LOD,0.0012,< LOD,0.0038,,,,,,,,,,,0.0012,0.0012,0.0057,0.0015,,,,,3,Passed,,
57,1/03/2006 11:37,Supervisor,MAD213,620,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1361,8.5497,0.1219,27.7089,0.1981,< LOD,0.011,0.0629,0.0063,3.3291,0.0228,0.6839,0.0108,,,,,,,,,,,,,,,,,< LOD,0.0016,0.0044,0.0021,,,,,0.0362,0.0013,0.0039,0.0005,,,< LOD,0.0006,0.0019,0.0005,,,,,,,,,,,,,,,< LOD,0.0014,,,,,< LOD,0.0039,< LOD,0.0096,,,< LOD,0.0013,< LOD,0.0035,,,,,,,,,,,< LOD,0.001,0.0096,0.0018,,,,,3,Passed,,
58,1/03/2006 11:40,Supervisor,MAD213,620.5,Li Index,Li Index,63,No Match,0,,0,,0,,,,,< LOD,0.1474,8.0033,0.1162,29.7024,0.2081,< LOD,0.0117,0.061,0.0064,7.5241,0.0327,0.128,0.0082,< LOD,0.0222,,,< LOD,0.0066,< LOD,0.0056,0.0724,0.0099,,,0.0024,0.0019,< LOD,0.0004,< LOD,0.0015,< LOD,0.0017,,,,,0.0806,0.002,< LOD,0.0004,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0043,< LOD,0.0089,,,< LOD,0.0012,< LOD,0.0039,,,,,,,,,,,< LOD,0.0012,0.0045,0.0015,,,,,3,Passed,,
59,1/03/2006 11:43,Supervisor,MAD213,621,Li Index,Li Index,61,No Match,0,,0,,0,,,,,< LOD,0.1534,4.0958,0.0929,24.8635,0.1863,0.0144,0.0135,0.1764,0.0091,0.2924,0.0081,0.6799,0.0099,< LOD,0.0561,,,< LOD,0.019,0.0163,0.0138,0.1734,0.0262,,,0.0037,0.0026,< LOD,0.0005,< LOD,0.0017,0.003,0.0021,,,,,0.0066,0.0006,0.0046,0.0005,,,< LOD,0.0006,0.0068,0.0006,,,,,,,,,,,,,,,0.0035,0.0014,,,,,< LOD,0.0034,< LOD,0.0101,,,< LOD,0.0014,< LOD,0.0033,,,,,,,,,,,< LOD,0.0009,0.0065,0.0017,,,,,3,Passed,,
File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Li,Li Err,Be,Be Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Pb,Pb Err,Bi,Bi Err,U,U Err,Multiplier,Cal Check,,,,,,,,,,
60,1/03/2006 12:11,Supervisor,MAD213,621.5,Li Index,Li Index,1,No Match,0,,0,,0,,,,,< LOD,0.6825,6.9283,0.5824,34.024,1.2051,< LOD,0.0576,0.0995,0.0373,6.7278,0.1657,0.0659,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Passed,,,,,,,,,,
File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Li,Li Err,Be,Be Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Cs,Cs Err,Ba,Ba Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,U,U Err,Multiplier,Cal Check,,
61,1/03/2006 12:11,Supervisor,MAD213,622,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1351,7.5023,0.1135,35.2463,0.2321,< LOD,0.0114,0.1176,0.0075,6.8287,0.0313,0.0821,0.0078,,,,,,,,,,,,,,,,,0.0021,0.0016,0.0019,0.0017,,,,,0.068,0.0018,0.0021,0.0004,,,< LOD,0.0005,0.0016,0.0005,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0045,0.0114,0.0091,,,< LOD,0.0011,< LOD,0.0036,,,,,,,,,,,< LOD,0.0011,0.0078,0.0016,,,,,3,Passed,,
62,1/03/2006 12:13,Supervisor,MAD213,622.5,Li Index,Li Index,64,No Match,0,,0,,0,,,,,< LOD,0.1462,6.3239,0.1061,35.5517,0.2339,0.0119,0.0118,0.2238,0.0094,6.0359,0.0297,0.1972,0.0085,< LOD,0.0196,,,< LOD,0.0051,< LOD,0.0057,0.1252,0.0112,,,0.0018,0.0015,< LOD,0.0004,< LOD,0.0016,0.002,0.0018,,,,,0.0673,0.0018,0.0023,0.0004,,,< LOD,0.0005,0.0006,0.0004,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0044,0.0156,0.0092,,,< LOD,0.0012,< LOD,0.0038,,,,,,,,,,,< LOD,0.0012,0.0068,0.0016,,,,,3,Passed,,
63,1/03/2006 12:15,Supervisor,MAD213,623,Li Index,Li Index,62,No Match,0,,0,,0,,,,,< LOD,0.145,4.899,0.099,29.7565,0.2071,< LOD,0.0117,0.0926,0.0071,0.4392,0.0095,0.77,0.0107,< LOD,0.0307,,,< LOD,0.009,0.0134,0.0078,0.216,0.0204,,,0.0018,0.0017,0.0004,0.0004,0.0032,0.0017,0.0029,0.0019,,,,,0.0072,0.0006,0.0066,0.0005,,,< LOD,0.0006,0.0025,0.0005,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0036,< LOD,0.0097,,,0.0014,0.0013,< LOD,0.0032,,,,,,,,,,,< LOD,0.001,0.0078,0.0017,,,,,3,Passed,,
64,1/03/2006 12:17,Supervisor,MAD213,623.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.137,9.5464,0.1239,28.8859,0.2044,0.0228,0.0111,0.1764,0.0086,9.5799,0.0363,0.2304,0.0095,,,,,,,,,,,,,,,,,< LOD,0.0016,< LOD,0.0018,,,,,0.0962,0.0022,0.0094,0.0006,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0046,0.0966,0.0098,,,< LOD,0.0013,< LOD,0.0042,,,,,,,,,,,< LOD,0.0013,0.0082,0.0018,,,,,3,Passed,,
65,1/03/2006 12:19,Supervisor,MAD213,624,Li Index,Li Index,62,No Match,0,,0,,0,,,,,< LOD,0.1583,6.0093,0.1061,29.1558,0.2059,< LOD,0.013,0.132,0.0083,3.6402,0.0239,0.581,0.0105,0.057,0.0332,,,< LOD,0.0085,< LOD,0.0075,0.1917,0.0192,,,< LOD,0.0024,0.0006,0.0006,< LOD,0.0016,< LOD,0.0017,,,,,0.044,0.0015,0.0277,0.0009,,,0.0048,0.001,< LOD,0.0004,,,,,,,,,,,,,,,0.0018,0.0013,,,,,< LOD,0.0041,0.1982,0.0117,,,< LOD,0.0012,< LOD,0.0037,,,,,,,,,,,0.0012,0.0011,0.0074,0.0016,,,,,3,Passed,,
66,1/03/2006 12:21,Supervisor,MAD213,624.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1586,0.1444,5.6383,0.1036,37.0065,0.2401,0.0678,0.0143,0.0649,0.0063,2.6928,0.0207,0.6644,0.0109,,,,,,,,,,,,,,,,,0.0023,0.0017,0.002,0.0018,,,,,0.0406,0.0015,0.0303,0.001,,,0.0186,0.0013,< LOD,0.0005,,,,,,,,,,,,,,,0.0014,0.0012,,,,,< LOD,0.0045,0.3718,0.0137,,,< LOD,0.0012,< LOD,0.004,,,,,,,,,,,< LOD,0.0012,0.0061,0.0015,,,,,3,Passed,,
67,1/03/2006 12:24,Supervisor,MAD213,625,Li Index,Li Index,61,No Match,0,,0,,0,,,,,0.2734,0.1663,6.2889,0.1111,24.7131,0.1867,0.0372,0.0149,0.1903,0.0094,1.0973,0.014,1.3487,0.0139,0.1226,0.0651,,,< LOD,0.012,0.0325,0.0181,1.2275,0.068,,,< LOD,0.004,0.0007,0.0006,0.006,0.002,0.0025,0.002,,,,,0.0166,0.001,0.0438,0.0011,,,0.0227,0.0015,0.0009,0.0005,,,,,,,,,,,,,,,0.0026,0.0014,,,,,< LOD,0.004,0.1261,0.011,,,0.0014,0.0014,< LOD,0.0038,,,,,,,,,,,< LOD,0.0011,0.0069,0.0017,,,,,3,Passed,,
68,1/03/2006 12:28,Supervisor,MAD213,625.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.146,5.5795,0.104,30.8702,0.2129,0.0539,0.0159,2.7051,0.0292,1.6727,0.0167,2.0021,0.0169,,,,,,,,,,,,,,,,,0.0025,0.0017,0.0026,0.0019,,,,,0.0206,0.001,0.0413,0.0011,,,< LOD,0.0011,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0042,0.1405,0.0113,,,< LOD,0.0013,< LOD,0.0035,,,,,,,,,,,< LOD,0.0011,0.0063,0.0016,,,,,3,Passed,,
69,1/03/2006 12:29,Supervisor,MAD213,626,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.212,0.1402,3.9091,0.0901,34.6908,0.2293,0.0253,0.0128,0.0629,0.0064,0.6753,0.0113,0.9738,0.0121,,,,,,,,,,,,,,,,,0.0049,0.0017,0.0029,0.0018,,,,,0.0133,0.0009,0.0172,0.0008,,,0.0244,0.0013,0.0011,0.0005,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0037,0.0969,0.0106,,,< LOD,0.0011,< LOD,0.0037,,,,,,,,,,,< LOD,0.0011,0.0067,0.0015,,,,,3,Passed,,
70,1/03/2006 12:31,Supervisor,MAD213,626.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1382,0.1362,7.0071,0.1128,34.0957,0.2261,0.0289,0.0117,0.088,0.0066,2.518,0.02,0.8795,0.0119,,,,,,,,,,,,,,,,,0.0018,0.0017,< LOD,0.0017,,,,,0.0242,0.001,0.0339,0.001,,,< LOD,0.0009,< LOD,0.0005,,,,,,,,,,,,,,,0.0025,0.0013,,,,,< LOD,0.0043,0.164,0.0117,,,0.0012,0.0012,< LOD,0.0033,,,,,,,,,,,< LOD,0.001,0.0064,0.0015,,,,,3,Passed,,
71,1/03/2006 12:33,Supervisor,MAD213,627,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1974,0.1553,4.3701,0.0924,24.9623,0.1889,0.0714,0.0156,0.0933,0.0076,2.7412,0.0211,0.4975,0.0095,,,,,,,,,,,,,,,,,0.0054,0.0019,< LOD,0.0017,,,,,0.0525,0.0018,0.0196,0.0008,,,0.0419,0.0016,0.0018,0.0005,,,,,,,,,,,,,,,0.0021,0.0013,,,,,< LOD,0.0036,0.2194,0.0118,,,< LOD,0.0012,< LOD,0.0044,,,,,,,,,,,< LOD,0.0012,0.0094,0.0018,,,,,3,Passed,,
72,1/03/2006 12:35,Supervisor,MAD213,627.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1674,5.1485,0.1025,23.8237,0.1836,0.0442,0.0163,0.1781,0.0096,0.8218,0.0125,0.8851,0.0114,,,,,,,,,,,,,,,,,0.0358,0.0031,0.0021,0.0019,,,,,0.0245,0.0012,0.0397,0.0011,,,0.0261,0.0015,0.0006,0.0004,,,,,,,,,,,,,,,0.0016,0.0014,,,,,< LOD,0.0035,0.1391,0.0115,,,0.0015,0.0014,< LOD,0.0041,,,,,,,,,,,< LOD,0.0011,0.0056,0.0017,,,,,3,Passed,,
